Date,Order_Demand
2023-01-01,105.0
2023-01-02,118.0
2023-01-03,132.0
2023-01-04,133.0
2023-01-05,101.0
2023-01-06,92.0
2023-01-07,115.0
2023-01-08,124.0
2023-01-09,127.0
2023-01-10,140.0
2023-01-11,118.0
2023-01-12,99.0
2023-01-13,
2023-01-14,73.0
2023-01-15,88.0
2023-01-16,
2023-01-17,108.0
2023-01-18,108.0
2023-01-19,76.0
2023-01-20,58.0
2023-01-21,89.0
2023-01-22,86.0
2023-01-23,104.0
2023-01-24,93.0
2023-01-25,92.0
2023-01-26,83.0
2023-01-27,187.0
2023-01-28,83.0
2023-01-29,92.0
2023-01-30,114.0
2023-01-31,118.0
2023-02-01,496.0
2023-02-02,102.0
2023-02-03,83.0
2023-02-04,108.0
2023-02-05,106.0
2023-02-06,137.0
2023-02-07,120.0
2023-02-08,116.0
2023-02-09,113.0
2023-02-10,106.0
2023-02-11,103.0
2023-02-12,113.0
2023-02-13,125.0
2023-02-14,114.0
2023-02-15,108.0
2023-02-16,90.0
2023-02-17,
2023-02-18,86.0
2023-02-19,78.0
2023-02-20,113.0
2023-02-21,108.0
2023-02-22,94.0
2023-02-23,90.0
2023-02-24,84.0
2023-02-25,88.0
2023-02-26,88.0
2023-02-27,112.0
2023-02-28,125.0
2023-03-01,123.0
2023-03-02,95.0
2023-03-03,90.0
2023-03-04,88.0
2023-03-05,106.0
2023-03-06,144.0
2023-03-07,155.0
2023-03-08,131.0
2023-03-09,125.0
2023-03-10,108.0
2023-03-11,102.0
2023-03-12,474.0
2023-03-13,152.0
2023-03-14,138.0
2023-03-15,140.0
2023-03-16,78.0
2023-03-17,99.0
2023-03-18,93.0
2023-03-19,101.0
2023-03-20,118.0
2023-03-21,99.0
2023-03-22,104.0
2023-03-23,92.0
2023-03-24,92.0
2023-03-25,76.0
2023-03-26,89.0
2023-03-27,109.0
2023-03-28,129.0
2023-03-29,115.0
2023-03-30,92.0
2023-03-31,95.0
2023-04-01,98.0
2023-04-02,125.0
2023-04-03,127.0
2023-04-04,138.0
2023-04-05,129.0
2023-04-06,103.0
2023-04-07,111.0
2023-04-08,115.0
2023-04-09,128.0
2023-04-10,141.0
2023-04-11,132.0
2023-04-12,129.0
2023-04-13,111.0
2023-04-14,93.0
2023-04-15,100.0
2023-04-16,118.0
2023-04-17,146.0
2023-04-18,130.0
2023-04-19,117.0
2023-04-20,263.0
2023-04-21,63.0
2023-04-22,85.0
2023-04-23,101.0
2023-04-24,141.0
2023-04-25,119.0
2023-04-26,114.0
2023-04-27,96.0
2023-04-28,76.0
2023-04-29,106.0
2023-04-30,121.0
2023-05-01,140.0
2023-05-02,130.0
2023-05-03,528.0
2023-05-04,103.0
2023-05-05,115.0
2023-05-06,136.0
