Date,Order_Demand,Product_Code,Warehouse
2023-01-01,1319,PROD_6287,WH_A
2023-01-02,2095,PROD_3700,WH_A
2023-01-03,2021,PROD_1140,WH_C
2023-01-04,1456,PROD_6346,WH_A
2023-01-05,1407,PROD_8748,WH_A
2023-01-06,1989,PROD_5968,WH_B
2023-01-07,1085,PROD_8648,WH_B
2023-01-08,1187,PROD_6898,WH_B
2023-01-09,1867,PROD_7074,WH_A
2023-01-10,1509,PROD_5385,WH_B
2023-01-11,1610,PROD_6365,WH_C
2023-01-12,1459,PROD_2944,WH_C
2023-01-13,1766,PROD_1149,WH_A
2023-01-14,1374,PROD_8993,WH_C
2023-01-15,1455,PROD_4838,WH_C
2023-01-16,1986,PROD_4314,WH_C
2023-01-17,1821,PROD_4383,WH_B
2023-01-18,1410,PROD_8796,WH_A
2023-01-19,1544,PROD_8054,WH_C
2023-01-20,1602,PROD_5576,WH_C
2023-01-21,1469,PROD_2882,WH_C
2023-01-22,1240,PROD_9367,WH_C
2023-01-23,1792,PROD_9960,WH_A
2023-01-24,1851,PROD_7115,WH_C
2023-01-25,1888,PROD_7055,WH_A
2023-01-26,1452,PROD_4105,WH_C
2023-01-27,1747,PROD_1113,WH_B
2023-01-28,1143,PROD_4807,WH_B
2023-01-29,1013,PROD_6758,WH_B
2023-01-30,1441,PROD_7844,WH_C
2023-01-31,2068,PROD_8219,WH_A
2023-02-01,1933,PROD_9605,WH_A
2023-02-02,2383,PROD_9497,WH_C
2023-02-03,1984,PROD_3794,WH_A
2023-02-04,1534,PROD_2410,WH_B
2023-02-05,1586,PROD_5304,WH_A
2023-02-06,1720,PROD_5910,WH_A
2023-02-07,1808,PROD_2521,WH_B
2023-02-08,2083,PROD_9549,WH_C
2023-02-09,1971,PROD_3608,WH_C
2023-02-10,2102,PROD_3153,WH_A
2023-02-11,1233,PROD_3299,WH_C
2023-02-12,1385,PROD_1390,WH_B
2023-02-13,1906,PROD_3776,WH_C
2023-02-14,1872,PROD_8002,WH_B
2023-02-15,2042,PROD_4842,WH_A
2023-02-16,1794,PROD_5976,WH_B
2023-02-17,1705,PROD_6534,WH_C
2023-02-18,1282,PROD_9935,WH_A
2023-02-19,1479,PROD_8043,WH_B
2023-02-20,1807,PROD_6723,WH_B
